場次編號,玩家人數,玩家,角色,所屬陣營,獲勝陣營,是否獲勝
16,6,F,亞瑟的忠誠僕人,好人,好人,是
16,6,G,亞瑟的忠誠僕人,好人,好人,是
17,6,A,莫甘娜,邪惡,好人,否
17,6,B,亞瑟的忠誠僕人,好人,好人,是
17,6,C,梅林,好人,好人,是
17,6,D,派西維爾,好人,好人,是
17,6,F,刺客,邪惡,好人,否
17,6,G,亞瑟的忠誠僕人,好人,好人,是
18,6,A,刺客,邪惡,好人,否
18,6,B,派西維爾,好人,好人,是
18,6,C,梅林,好人,好人,是
18,6,D,亞瑟的忠誠僕人,好人,好人,是
18,6,F,莫甘娜,邪惡,好人,否
18,6,G,亞瑟的忠誠僕人,好人,好人,是
19,6,A,派西維爾,好人,好人,是
19,6,B,刺客,邪惡,好人,否
19,6,C,亞瑟的忠誠僕人,好人,好人,是
19,6,D,亞瑟的忠誠僕人,好人,好人,是
19,6,F,梅林,好人,好人,是
19,6,G,莫甘娜,邪惡,好人,否
20,6,A,梅林,好人,好人,是
20,6,B,亞瑟的忠誠僕人,好人,好人,是
20,6,C,亞瑟的忠誠僕人,好人,好人,是
20,6,D,刺客,邪惡,好人,否
20,6,F,派西維爾,好人,好人,是
20,6,G,莫甘娜,邪惡,好人,否
21,6,A,梅林,好人,邪惡,否
21,6,B,派西維爾,好人,邪惡,否
21,6,C,莫甘娜,邪惡,邪惡,是
21,6,D,亞瑟的忠誠僕人,好人,邪惡,否
21,6,F,亞瑟的忠誠僕人,好人,邪惡,否
21,6,G,刺客,邪惡,邪惡,是
22,6,A,梅林,好人,好人,是
22,6,B,亞瑟的忠誠僕人,好人,好人,是
22,6,C,莫甘娜,邪惡,好人,否
22,6,D,亞瑟的忠誠僕人,好人,好人,是
22,6,F,派西維爾,好人,好人,是
22,6,G,刺客,邪惡,好人,否
23,6,A,莫甘娜,邪惡,好人,否
23,6,B,梅林,好人,好人,是
23,6,C,派西維爾,好人,好人,是
23,6,D,刺客,邪惡,好人,否
23,6,F,亞瑟的忠誠僕人,好人,好人,是
23,6,G,亞瑟的忠誠僕人,好人,好人,是
24,6,A,派西維爾,好人,好人,是
24,6,B,刺客,邪惡,好人,否
24,6,C,莫甘娜,邪惡,好人,否
24,6,D,亞瑟的忠誠僕人,好人,好人,是
24,6,F,梅林,好人,好人,是
24,6,G,亞瑟的忠誠僕人,好人,好人,是
25,6,A,亞瑟的忠誠僕人,好人,好人,是
25,6,B,梅林,好人,好人,是
25,6,C,莫甘娜,邪惡,好人,否
25,6,D,亞瑟的忠誠僕人,好人,好人,是
25,6,F,刺客,邪惡,好人,否
25,6,G,派西維爾,好人,好人,是
26,6,A,派西維爾,好人,邪惡,否
26,6,B,刺客,邪惡,邪惡,是
26,6,C,梅林,好人,邪惡,否
26,6,D,亞瑟的忠誠僕人,好人,邪惡,否
26,6,F,亞瑟的忠誠僕人,好人,邪惡,否
26,6,G,莫甘娜,邪惡,邪惡,是
27,6,A,派西維爾,好人,邪惡,否
27,6,B,梅林,好人,邪惡,否
27,6,C,莫甘娜,邪惡,邪惡,是
27,6,D,亞瑟的忠誠僕人,好人,邪惡,否
27,6,F,刺客,邪惡,邪惡,是
27,6,G,亞瑟的忠誠僕人,好人,邪惡,否
28,6,A,亞瑟的忠誠僕人,好人,邪惡,否
28,6,B,梅林,好人,邪惡,否
28,6,C,莫甘娜,邪惡,邪惡,是
28,6,D,刺客,邪惡,邪惡,是
28,6,F,亞瑟的忠誠僕人,好人,邪惡,否
28,6,G,派西維爾,好人,邪惡,否
29,6,A,亞瑟的忠誠僕人,好人,好人,是
29,6,B,莫甘娜,邪惡,好人,否
29,6,C,亞瑟的忠誠僕人,好人,好人,是
29,6,D,派西維爾,好人,好人,是
29,6,F,刺客,邪惡,好人,否
29,6,G,梅林,好人,好人,是
30,6,A,梅林,好人,邪惡,否
30,6,B,亞瑟的忠誠僕人,好人,邪惡,否
30,6,C,亞瑟的忠誠僕人,好人,邪惡,否
30,6,D,派西維爾,好人,邪惡,否
30,6,F,莫甘娜,邪惡,邪惡,是
30,6,G,刺客,邪惡,邪惡,是
31,6,A,亞瑟的忠誠僕人,好人,邪惡,否
31,6,B,亞瑟的忠誠僕人,好人,邪惡,否
31,6,C,梅林,好人,邪惡,否
31,6,D,莫甘娜,邪惡,邪惡,是
31,6,F,派西維爾,好人,邪惡,否
31,6,G,刺客,邪惡,邪惡,是
32,6,A,派西維爾,好人,好人,是
32,6,B,莫甘娜,邪惡,好人,否
32,6,C,刺客,邪惡,好人,否
32,6,D,梅林,好人,好人,是
32,6,F,亞瑟的忠誠僕人,好人,好人,是
32,6,G,亞瑟的忠誠僕人,好人,好人,是
33,6,A,梅林,好人,邪惡,否
33,6,B,亞瑟的忠誠僕人,好人,邪惡,否
33,6,C,莫甘娜,邪惡,邪惡,是
33,6,D,亞瑟的忠誠僕人,好人,邪惡,否
33,6,F,派西維爾,好人,邪惡,否
33,6,G,刺客,邪惡,邪惡,是
34,6,A,派西維爾,好人,好人,是
34,6,B,亞瑟的忠誠僕人,好人,好人,是
34,6,C,亞瑟的忠誠僕人,好人,好人,是
34,6,D,梅林,好人,好人,是
34,6,F,莫甘娜,邪惡,好人,否
34,6,G,刺客,邪惡,好人,否
35,6,A,派西維爾,好人,邪惡,否
35,6,B,亞瑟的忠誠僕人,好人,邪惡,否
35,6,C,刺客,邪惡,邪惡,是
35,6,D,亞瑟的忠誠僕人,好人,邪惡,否
35,6,F,莫甘娜,邪惡,邪惡,是
35,6,G,梅林,好人,邪惡,否
36,7,A,亞瑟的忠誠僕人,好人,好人,是
36,7,B,莫甘娜,邪惡,好人,否
36,7,C,梅林,好人,好人,是
36,7,D,亞瑟的忠誠僕人,好人,好人,是
36,7,E,奧伯倫,邪惡,好人,否
36,7,F,刺客,邪惡,好人,否
36,7,G,派西維爾,好人,好人,是
